id,trial,cond,round,arm,out
1,9,pos,7,4,21.2293801786
1,10,pos,7,4,21.2346665196
1,1,neg,8,5,21.2600225368
1,2,neg,8,6,14.9281922416
1,3,neg,8,6,15.1378822594
1,4,neg,8,6,15.0143768307
1,5,neg,8,8,2.1704472833
1,6,neg,8,7,8.4601420045
1,7,neg,8,5,21.6631458946
1,8,neg,8,6,14.7504110589
1,9,neg,8,6,15.2024389648
1,10,neg,8,7,8.7906241717
1,1,ran,9,7,32.9072427023
1,2,ran,9,8,38.9274410845
1,3,ran,9,5,16.0554628404
1,4,ran,9,6,10.5293216958
1,5,ran,9,7,33.1025676975
1,6,ran,9,8,38.8499522933
1,7,ran,9,8,38.778296466
1,8,ran,9,8,39.0973459916
1,9,ran,9,8,38.2226101754
1,10,ran,9,8,38.7709975095
1,1,ran,10,5,37.0405286837
1,2,ran,10,5,37.6972385431
1,3,ran,10,6,10.1737933123
1,4,ran,10,7,31.5432780443
1,5,ran,10,8,42.6397692466
1,6,ran,10,8,42.4325178343
1,7,ran,10,8,42.9165337304
1,8,ran,10,5,37.4921477841
1,9,ran,10,6,9.3950472922
1,10,ran,10,7,31.7988943273
1,1,neg,11,8,9.811252262
1,2,neg,11,5,26.0136277562
1,3,neg,11,6,20.355080188
1,4,neg,11,7,15.1958140143
1,5,neg,11,8,9.7842140884
1,6,neg,11,5,25.7642950855
1,7,neg,11,6,20.3355460955
1,8,neg,11,7,15.1563504644
1,9,neg,11,8,9.9647938609
1,10,neg,11,5,25.488002262
1,1,neg,12,6,15.7215769879
1,2,neg,12,7,9.9819235169
1,3,neg,12,8,4.8745270742
1,4,neg,12,7,10.1567836872
1,5,neg,12,6,15.7973780172
1,6,neg,12,5,20.3027726733
1,7,neg,12,5,20.7502780514
1,8,neg,12,6,15.5310388109
1,9,neg,12,7,9.979743928
1,10,neg,12,8,4.782805224
1,1,neg,13,5,23.1930327936
1,2,neg,13,5,23.3787971814
1,3,neg,13,6,17.8393445311
1,4,neg,13,7,12.4102351667
1,5,neg,13,8,6.4096513624
1,6,neg,13,7,12.5935091431
1,7,neg,13,5,23.5529370897
