id,trial,rcond,cond,round,arm,out,block
1,9,pos,Structure-Random-Structure,22,8,41.1803101635055,3
1,10,pos,Structure-Random-Structure,22,8,41.7260691744698,3
1,1,neg,Structure-Random-Structure,23,8,6.93225715180432,3
1,2,neg,Structure-Random-Structure,23,1,45.2160250200824,3
1,3,neg,Structure-Random-Structure,23,1,44.8631565009972,3
1,4,neg,Structure-Random-Structure,23,1,46.024796406177,3
1,5,neg,Structure-Random-Structure,23,1,45.6375881382959,3
1,6,neg,Structure-Random-Structure,23,1,45.2876903796113,3
1,7,neg,Structure-Random-Structure,23,1,45.1280136828871,3
1,8,neg,Structure-Random-Structure,23,1,45.8501451379203,3
1,9,neg,Structure-Random-Structure,23,1,45.6009527711897,3
1,10,neg,Structure-Random-Structure,23,1,45.6453894920734,3
1,1,neg,Structure-Random-Structure,24,4,23.9269836786733,3
1,2,neg,Structure-Random-Structure,24,2,34.7490918442035,3
1,3,neg,Structure-Random-Structure,24,2,34.8226248013446,3
1,4,neg,Structure-Random-Structure,24,4,24.6979164535461,3
1,5,neg,Structure-Random-Structure,24,3,29.7913322464939,3
1,6,neg,Structure-Random-Structure,24,6,13.4280947759437,3
1,7,neg,Structure-Random-Structure,24,5,19.3323210756185,3
1,8,neg,Structure-Random-Structure,24,7,8.79220383567586,3
1,9,neg,Structure-Random-Structure,24,8,2.89825562720635,3
1,10,neg,Structure-Random-Structure,24,1,40.3385583025084,3
1,1,pos,Structure-Random-Structure,25,2,9.85993762593089,3
1,2,pos,Structure-Random-Structure,25,5,27.924779554887,3
1,3,pos,Structure-Random-Structure,25,6,34.2257331661989,3
1,4,pos,Structure-Random-Structure,25,7,40.3123106183178,3
1,5,pos,Structure-Random-Structure,25,7,41.1521470027196,3
1,6,pos,Structure-Random-Structure,25,7,40.9140397736605,3
1,7,pos,Structure-Random-Structure,25,7,40.0334424589337,3
1,8,pos,Structure-Random-Structure,25,7,40.1603262633479,3
1,9,pos,Structure-Random-Structure,25,7,40.4943553143956,3
1,10,pos,Structure-Random-Structure,25,6,34.0618598781377,3
1,1,pos,Structure-Random-Structure,26,1,2.24501167824568,3
1,2,pos,Structure-Random-Structure,26,5,25.1989081242931,3
1,3,pos,Structure-Random-Structure,26,7,36.9956490875023,3
1,4,pos,Structure-Random-Structure,26,6,30.8484649735001,3
1,5,pos,Structure-Random-Structure,26,8,42.0031808395204,3
1,6,pos,Structure-Random-Structure,26,8,42.3231720213264,3
1,7,pos,Structure-Random-Structure,26,8,41.8288091763715,3
1,8,pos,Structure-Random-Structure,26,8,42.3889621133009,3
1,9,pos,Structure-Random-Structure,26,8,42.255085034237,3
1,10,pos,Structure-Random-Structure,26,8,42.2655693941005,3
1,1,pos,Structure-Random-Structure,27,1,9.76157042666588,3
1,2,pos,Structure-Random-Structure,27,5,31.2859403688281,3
1,3,pos,Structure-Random-Structure,27,6,36.3530957099445,3
1,4,pos,Structure-Random-Structure,27,1,9.64103613274618,3
1,5,pos,Structure-Random-Structure,27,2,14.8316357803396,3
1,6,pos,Structure-Random-Structure,27,3,20.3554538733605,3
1,7,pos,Structure-Random-Structure,27,8,46.8160383625793,3
1,8,pos,Structure-Random-Structure,27,8,46.7222741125316,3
1,9,pos,Structure-Random-Structure,27,8,46.4424461394058,3
1,10,pos,Structure-Random-Structure,27,8,47.1387358313761,3
1,1,neg,Structure-Random-Structure,28,6,14.768905359532,3
1,2,neg,Structure-Random-Structure,28,8,2.45547186565946,3
1,3,neg,Structure-Random-Structure,28,1,45.9970804471643,3
1,4,neg,Structure-Random-Structure,28,1,46.8647493889777,3
1,5,neg,Structure-Random-Structure,28,1,46.3881582677673,3
1,6,neg,Structure-Random-Structure,28,1,46.2342569615115,3
1,7,neg,Structure-Random-Structure,28,1,45.460627267916,3
1,8,neg,Structure-Random-Structure,28,1,46.4188357070983,3
1,9,neg,Structure-Random-Structure,28,1,46.5699210860795,3
1,10,neg,Structure-Random-Structure,28,1,46.1715761222235,3
1,1,neg,Structure-Random-Structure,29,8,4.00499289756777,3
1,2,neg,Structure-Random-Structure,29,1,42.9742304523009,3
1,3,neg,Structure-Random-Structure,29,1,43.2196993418094,3
1,4,neg,Structure-Random-Structure,29,1,43.2741572751919,3
1,5,neg,Structure-Random-Structure,29,1,43.7793602530766,3
1,6,neg,Structure-Random-Structure,29,1,43.8445644266449,3
1,7,neg,Structure-Random-Structure,29,1,43.3995594937089,3
1,8,neg,Structure-Random-Structure,29,1,43.7713989043204,3
1,9,neg,Structure-Random-Structure,29,1,43.2559400299766,3
1,10,neg,Structure-Random-Structure,29,1,43.592398162691,3
1,1,neg,Structure-Random-Structure,30,8,3.02617240137582,3
1,2,neg,Structure-Random-Structure,30,1,43.8903492173682,3
1,3,neg,Structure-Random-Structure,30,1,43.7300498986974,3
1,4,neg,Structure-Random-Structure,30,1,43.4495621098011,3
1,5,neg,Structure-Random-Structure,30,1,44.2451828666741,3
1,6,neg,Structure-Random-Structure,30,1,43.6392201615689,3
1,7,neg,Structure-Random-Structure,30,1,44.1699562969527,3
1,8,neg,Structure-Random-Structure,30,1,44.1034742328812,3
1,9,neg,Structure-Random-Structure,30,1,43.7516386889433,3
1,10,neg,Structure-Random-Structure,30,1,44.0488955408861,3
2,1,ran,Random-Structure-Random,1,2,9.71897139604886,1
2,2,ran,Random-Structure-Random,1,7,4.10802742266618,1
2,3,ran,Random-Structure-Random,1,2,10.1119977035535,1
2,4,ran,Random-Structure-Random,1,3,16.0952767467095,1
2,5,ran,Random-Structure-Random,1,3,16.2828279216558,1
2,6,ran,Random-Structure-Random,1,4,21.6262901528965,1
2,7,ran,Random-Structure-Random,1,4,21.5405346459626,1
2,8,ran,Random-Structure-Random,1,5,33.8937649447852,1
2,9,ran,Random-Structure-Random,1,6,45.3473455781037,1
2,10,ran,Random-Structure-Random,1,1,39.0730481432982,1
2,1,ran,Random-Structure-Random,2,7,29.1312121128242,1
2,2,ran,Random-Structure-Random,2,6,18.8594252029694,1
2,3,ran,Random-Structure-Random,2,2,13.9456234126292,1
2,4,ran,Random-Structure-Random,2,3,35.493062345483,1
2,5,ran,Random-Structure-Random,2,4,8.65152198771175,1
2,6,ran,Random-Structure-Random,2,5,24.2595431427255,1
2,7,ran,Random-Structure-Random,2,3,34.9773576672506,1
2,8,ran,Random-Structure-Random,2,3,34.6890812608576,1
2,9,ran,Random-Structure-Random,2,3,35.0805325009079,1
2,10,ran,Random-Structure-Random,2,1,46.1084727026068,1
2,1,ran,Random-Structure-Random,3,2,45.7736230872125,1
2,2,ran,Random-Structure-Random,3,3,22.3153555731362,1
2,3,ran,Random-Structure-Random,3,2,45.3824120018291,1
2,4,ran,Random-Structure-Random,3,2,45.1414622699374,1
2,5,ran,Random-Structure-Random,3,2,45.6476287969117,1
2,6,ran,Random-Structure-Random,3,2,45.0863207580199,1
2,7,ran,Random-Structure-Random,3,2,45.228616818034,1
2,8,ran,Random-Structure-Random,3,2,45.1535262100731,1
2,9,ran,Random-Structure-Random,3,2,45.4312204163784,1
2,10,ran,Random-Structure-Random,3,2,45.2928385217002,1
2,1,ran,Random-Structure-Random,4,1,40.7008197473499,1
2,2,ran,Random-Structure-Random,4,3,6.05433616439249,1
2,3,ran,Random-Structure-Random,4,6,11.8100569161295,1
